,1,2,3,4,5,6,7,8,A,B,C,I,II,III
e_e_max_weight,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.25,9.0,9.0,9.0,9.0,9.0,9.0
W_ei,1.75,1.85,1.99,2.1,2.1,2.25,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
w_acpt,2.25,2.25,2.42,2.43,2.51,2.53,2.55,2.51,2.51,2.51,2.51,2.51,2.51,2.55
thr_GO_state,-48.5,-48.5,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0
delay_A2GO,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.6,2.3,2.0,2.0,2.0
delay_A2B,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.525,0.625,0.625,0.625,0.525,0.45,0.525
correct,55.0,60.0,50.0,55.0,60.0,35.0,55.0,65.0,40.0,45.0,50.0,65.0,30.0,60.0
null,5.0,0.0,10.0,10.0,10.0,15.0,10.0,15.0,5.0,10.0,0.0,0.0,10.0,5.0
two,30.0,35.0,30.0,5.0,25.0,20.0,25.0,10.0,25.0,15.0,15.0,30.0,45.0,25.0
no_trans,10.0,5.0,10.0,30.0,5.0,30.0,10.0,10.0,30.0,30.0,35.0,5.0,15.0,10.0
